freqtrade backtesting -c user_data/configs/webserver_config.json -s NASOSv5_mod4_E0V1E --timerange=20240101- --enable-protections
Result for strategy NASOSv5_mod4_E0V1E
                                                 BACKTESTING REPORT
┏━━━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃            Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃ Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│        POL/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│      HMSTR/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│        APT/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│        ARB/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│       ATOM/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│        BCH/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│       IOTA/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│       LINK/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│       MANA/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│      RONIN/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│       ROSE/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│        SEI/USDT │      5 │        -1.54 │          -0.189 │        -0.19 │      5:06:00 │    2     0     3  40.0 │
│       BLUR/USDT │      4 │        -2.15 │          -1.260 │        -1.26 │      1:29:00 │    3     0     1  75.0 │
│       PYTH/USDT │      4 │        -0.88 │          -1.576 │        -1.58 │      4:39:00 │    2     0     2  50.0 │
│        GNO/USDT │      1 │        -3.19 │          -1.940 │        -1.94 │      6:00:00 │    0     0     1     0 │
│       PIVX/USDT │      3 │        -2.89 │          -2.168 │        -2.17 │      5:47:00 │    1     0     2  33.3 │
│        ICX/USDT │      1 │         -1.7 │          -2.589 │        -2.59 │      6:00:00 │    0     0     1     0 │
│        ZEC/USDT │      2 │        -1.52 │          -2.612 │        -2.61 │      6:00:00 │    1     0     1  50.0 │
│      THETA/USDT │      3 │        -0.81 │          -2.640 │        -2.64 │      4:10:00 │    1     0     2  33.3 │
│       LUNC/USDT │      7 │        -2.59 │          -3.825 │        -3.83 │      2:12:00 │    3     0     4  42.9 │
│        LPT/USDT │     19 │          0.5 │          -5.005 │         -5.0 │      2:58:00 │   11     0     8  57.9 │
│        CKB/USDT │     34 │        -0.71 │          -5.117 │        -5.12 │      3:52:00 │   18     0    16  52.9 │
│       STRK/USDT │      2 │        -3.36 │          -5.251 │        -5.25 │      4:32:00 │    1     0     1  50.0 │
│         ZK/USDT │      2 │        -0.75 │         -11.485 │       -11.48 │      3:12:00 │    1     0     1  50.0 │
│      ETHFI/USDT │     13 │          0.5 │         -12.938 │       -12.94 │      3:14:00 │    8     0     5  61.5 │
│        ICP/USDT │      1 │       -10.18 │         -13.704 │        -13.7 │      3:45:00 │    0     0     1     0 │
│       HOOK/USDT │      2 │          1.6 │         -15.987 │       -15.99 │      3:08:00 │    1     0     1  50.0 │
│       CAKE/USDT │      1 │         -1.2 │         -18.719 │       -18.72 │      6:00:00 │    0     0     1     0 │
│       COTI/USDT │     15 │        -0.52 │         -21.747 │       -21.75 │      3:42:00 │    7     0     8  46.7 │
│       GALA/USDT │      8 │        -1.23 │         -23.066 │       -23.07 │      4:14:00 │    4     0     4  50.0 │
│        UTK/USDT │      6 │        -0.03 │         -23.259 │       -23.26 │      2:22:00 │    4     0     2  66.7 │
│       WAXP/USDT │      4 │        -0.05 │         -24.910 │       -24.91 │      5:12:00 │    2     0     2  50.0 │
│       AEVO/USDT │     13 │        -0.24 │         -25.584 │       -25.58 │      2:47:00 │    8     0     5  61.5 │
│          W/USDT │     11 │        -0.05 │         -25.611 │       -25.61 │      3:10:00 │    6     0     5  54.5 │
│        TLM/USDT │      7 │        -1.73 │         -26.872 │       -26.87 │      3:09:00 │    3     0     4  42.9 │
│        ELF/USDT │     15 │        -0.32 │         -28.319 │       -28.32 │      3:15:00 │    8     0     7  53.3 │
│       MINA/USDT │      3 │        -2.23 │         -28.653 │       -28.65 │      4:48:00 │    1     0     2  33.3 │
│      JASMY/USDT │     22 │         0.23 │         -31.086 │       -31.09 │      2:47:00 │   13     0     9  59.1 │
